prefecture,year,population,capital,region,estimated_area,island
aichi-ken,1872,1210368.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1873,1217444.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1874,1217521.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1875,1234003.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1876,1244711.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1877,1250839.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1878,1267206.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1879,1295452.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1880,1303812.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1881,1317792.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1882,1332050.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1883,1354996.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1884,1370576.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1885,1373419.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1886,1386473.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1887,1404106.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1888,1429486.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1889,1444011.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1890,1456294.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1891,1473099.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1892,1483744.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1893,1497791.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1894,1512420.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1895,1529349.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1896,1553447.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1897,1577320.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1898,1592733.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1899,1639611.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1904,1752042.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1909,1886739.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1914,2073224.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1919,2140077.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1921,2089762.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1926,2319494.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1931,2567413.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1936,2862701.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1941,3166592.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1944,3280206.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1946,2857851.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1946,2919085.0,Nagoya-shi,Chubu,5165.12,Honshu
aichi-ken,1948,3122902.0,Nagoya-shi,Chubu,5165.12,Honshu
